kod;nazwa;obszar;poziom;studia;a1;a2r;a2w;a3;a4p;a4m;a5;m1;anty;koszt;flaga;zagr;kier;klaster;duze_miasto;teren;przeciw;przedm;dosw
nauczyciel;Nauczyciel;21;dlugi;tak;uczenie rozmowa;wyjasnianie wystapienia cierpliwosc;organizowanie rozbrajanie wyczuwanie;ludzie bodzce powtarzalnosc;sens czas_dla_siebie stabilnosc relacje;pieniadze uznanie;studia ludzie_ciagle dzieci wystapienia doksztalcanie;osiadlosc przenika;potrzeba_ciszy krytyka_osobista efekt_widoczny;niski;docelowy;niskie;Wybor przedmiotu wazy tu wiecej niz gdziekolwiek indziej;szkola;0;0;;polski matematyka;wolontariat prowadzenie
nauczyciel_przedszkola;Nauczyciel przedszkola;21;dlugi;tak;uczenie opieka wspolnota;opiekunczosc wyjasnianie prowadzenie_grupy;tworzenie wyczuwanie wytrzymalosc;ludzie bodzce powtarzalnosc;sens relacje czas_dla_siebie;pieniadze uznanie;studia dzieci ludzie_ciagle halas fizyczna odpowiedzialnosc;osiadlosc;potrzeba_ciszy cudza_zlosc kregoslup_slaby;niski;docelowy;umiarkowane;;;0;0;kregoslup;polski artystyczne;wolontariat
pedagog_specjalny;Pedagog specjalny;21;dlugi;tak;uczenie opieka rozmowa;opiekunczosc wyjasnianie tworzenie;wyczuwanie opanowanie cierpliwosc;ludzie zespol powtarzalnosc;sens mistrzostwo stabilnosc;pieniadze efekt_widoczny;studia dzieci ludzie_ciagle doksztalcanie agresja;osiadlosc;efekt_szybki agresja konflikt_rodzic;niski;docelowy;bardzo_niskie;Najszybciej rosnacy zawod w calej edukacji;szkola;0;0;;biologia polski;wolontariat
trener_biznesu;Trener biznesu;21;sredni;nie;uczenie przekonywanie rozmowa;wyjasnianie wystapienia prowadzenie_grupy;przekonywanie tworzenie odpornosc;ludzie inicjatywa tempo;wolnosc rozwoj uznanie pieniadze;stabilnosc czas_dla_siebie;wyjazdy wystapienia niepewny_dochod ludzie_ciagle;mobilnosc wlasne;sprzedaz_nie stala_pensja krytyka_osobista;wysoki;docelowy;umiarkowane;Cwiczenia umiejetnosci sa bezpieczne, przekazywanie wiedzy nie;;0;0;;;praca_stala prowadzenie
animator;Animator spoleczny;22;szybki;nie;wspolnota rozmowa uczenie;wyczuwanie prowadzenie_grupy organizowanie;tworzenie rozbrajanie odpornosc;inicjatywa elastycznosc ludzie;sens relacje wolnosc;pieniadze stabilnosc uznanie;weekendy nieregularne ludzie_ciagle niepewny_dochod;maly_zespol przenika;efekt_widoczny odmowa_do_siebie;zerowy;docelowy;bardzo_niskie;;;0;0;;;wolontariat prowadzenie
duszpasterz;Duszpasterz;22;dlugi;tak;wspolnota rozmowa uczenie;wyczuwanie wystapienia opiekunczosc;wyjasnianie prowadzenie_grupy organizowanie;ludzie samodzielnie elastycznosc;sens zasady relacje wplyw;pieniadze czas_dla_siebie;studia ludzie_ciagle wystapienia nieregularne odpowiedzialnosc umieranie;przenika stacjonarna;potrzeba_prywatnosci samotnosc_w_roli umieranie;zerowy;docelowy;niskie;;;0;0;;polski historia;wolontariat prowadzenie
fundraiser;Fundraiser;22;sredni;czesciowo;przekonywanie wspolnota pisanie;przekonywanie slowo odpornosc;analiza wyczuwanie organizowanie;inicjatywa tempo ludzie;sens wplyw rozwoj;stabilnosc;presja ludzie_ciagle nieregularne;maly_zespol przenika;sprzedaz_nie odmowa_do_siebie;zerowy;docelowy;niskie;;;0;0;;polski;wolontariat prowadzenie
koordynator_ngo;Koordynator projektow w NGO;22;sredni;czesciowo;wspolnota planowanie rozmowa;organizowanie prowadzenie_grupy slowo;rachunki wyczuwanie wielozadaniowosc;inicjatywa elastycznosc ludzie;sens zasady wolnosc;pieniadze stabilnosc;weekendy nieregularne niepewny_dochod ludzie_ciagle;przenika maly_zespol;potrzeba_stabilnosci dokumentacja_nie;zerowy;docelowy;niskie;;;0;0;;polski wos;wolontariat prowadzenie
misjonarz;Misjonarz swiecki;22;sredni;czesciowo;wspolnota opieka ruch;samodzielnosc wytrzymalosc problemy;uczenie_sie cierpliwosc opanowanie;samodzielnie elastycznosc zgoda;sens zasady wolnosc;pieniadze stabilnosc czas_dla_siebie;zagranica przeprowadzka fizyczna kazda_pogoda niepewny_dochod samotnosc;mobilnosc przenika;potrzeba_stabilnosci bez_zawodu;niski;docelowy;niskie;Bez konkretnego zawodu nie ma czego robic na misji;;0;0;;;wolontariat
fotograf;Fotograf;23;szybki;nie;obraz scena rozmowa;estetyka sprzet opanowanie;wyczuwanie samodzielnosc odpornosc;samodzielnie inicjatywa zmiennosc;wolnosc uznanie zmiennosc;stabilnosc czas_dla_siebie;weekendy nieregularne fizyczna niepewny_dochod dzwiganie wlasna_dzialalnosc;mobilnosc wlasne;weekendy_nie stala_pensja sprzedaz_nie;wysoki;docelowy;umiarkowane;Celuj w wydarzenia, nie w fotografie produktowa;;0;0;kregoslup;artystyczne;hobby projekty
grafik;Grafik;23;szybki;nie;obraz precyzja pisanie;estetyka dokladnosc tworzenie;samodzielnosc odpornosc przestrzenna;cisza samodzielnie wlasne_pomysly;wolnosc mistrzostwo uznanie;stabilnosc;komputer niepewny_dochod doksztalcanie;zdalna wlasne;nietykalnosc_pracy bez_ograniczen sprzedaz_nie;sredni;docelowy;wysokie;Celuj w systemy wizualne i druk, nie w wykonawstwo;projektowanie_wiz;0;0;;artystyczne informatyka;projekty hobby
ilustrator;Ilustrator;23;szybki;nie;obraz rece;estetyka manualne tworzenie;samodzielnosc wytrwalosc odpornosc;cisza samodzielnie glebia;wolnosc mistrzostwo;stabilnosc relacje pieniadze;niepewny_dochod samotnosc wlasna_dzialalnosc komputer;zdalna wlasne mniej_godzin;stala_pensja potrzeba_ludzi samodyscyplina_brak;niski;docelowy;bardzo_wysokie;Planuj jako jedna z kilku umiejetnosci, nie jako jedyne zrodlo utrzymania;;0;0;;artystyczne rysunek;hobby projekty
projektant_produktu;Projektant produktu;23;sredni;tak;obraz rece tech naprawianie;przestrzenna estetyka tworzenie;dokladnosc system manualne;glebia dokladnosc wlasne_pomysly;mistrzostwo rozwoj uznanie;efekt_widoczny;studia komputer doksztalcanie;osiadlosc duza_organizacja;efekt_szybki bez_ograniczen;niski;docelowy;niskie;Rynek w Polsce jest waski, licz sie z wyjazdem albo klientami zagranicznymi;;0;0;;rysunek fizyka artystyczne;projekty hobby
projektant_ux;Projektant UX;23;sredni;nie;obraz rozmowa dociekanie;estetyka tworzenie wyczuwanie;analiza odpornosc slowo;wlasne_pomysly ludzie elastycznosc;rozwoj mistrzostwo wolnosc uznanie;stabilnosc;komputer ludzie_ciagle doksztalcanie;zdalna duza_organizacja;krytyka_osobista bez_uzasadnienia potrzeba_pewnosci;niski;docelowy;umiarkowane;Rynek wejsciowy jest przesycony, potrzebne bardzo dobre portfolio;projektowanie_wiz;0;0;;informatyka artystyczne;projekty
projektant_wnetrz;Projektant wnetrz;23;sredni;czesciowo;obraz precyzja planowanie;estetyka przestrzenna organizowanie;dokladnosc wyczuwanie negocjowanie;wlasne_pomysly ludzie elastycznosc;wolnosc mistrzostwo uznanie;stabilnosc;nieregularne wyjazdy niepewny_dochod ludzie_ciagle;wlasne mobilnosc;wizualizacje_tylko potrzeba_pewnosci;wysoki;docelowy;umiarkowane;Prowadzenie realizacji jest bezpieczne, same wizualizacje nie;;0;0;;artystyczne rysunek matematyka;projekty
dziennikarz;Dziennikarz;24;sredni;czesciowo;pisanie dociekanie prawo;slowo analiza odpornosc;wyczuwanie opanowanie zapamietywanie;tempo konfrontacja szerokosc;sens uznanie zmiennosc zasady;stabilnosc pieniadze czas_dla_siebie;nieregularne presja wyjazdy agresja;przenika mobilnosc;potrzeba_stabilnosci cudza_zlosc konfrontacja_nie;zerowy;docelowy;wysokie;Weryfikacja faktow rosnie na wartosci, przetwarzanie informacji nie;;1;0;;polski historia wos;projekty konkursy
montazysta;Montazysta wideo;24;szybki;nie;obraz scena pisanie;estetyka dokladnosc cierpliwosc;samodzielnosc tworzenie sprzet;cisza samodzielnie glebia;wolnosc mistrzostwo;stabilnosc relacje;komputer nieregularne niepewny_dochod samotnosc;zdalna szybkie_wejscie;potrzeba_ludzi nietykalnosc_pracy samodyscyplina_brak;sredni;docelowy;umiarkowane;Celuj w dluzsze formy, krotkie sie automatyzuja;;0;0;;informatyka artystyczne;projekty hobby
operator_kamery;Operator kamery;24;sredni;czesciowo;obraz scena ruch;estetyka sprzet wytrzymalosc;opanowanie dokladnosc zespol;zespol tempo bodzce;zmiennosc uznanie relacje;stabilnosc czas_dla_siebie;wyjazdy nieregularne fizyczna dzwiganie weekendy niepewny_dochod;mobilnosc przenika;fizycznosc stala_pensja;wysoki;docelowy;niskie;;;0;0;kregoslup;artystyczne fizyka;projekty hobby
producent;Producent;24;dlugi;czesciowo;planowanie prowadzenie scena;organizowanie wielozadaniowosc opanowanie;negocjowanie rachunki prowadzenie_grupy;tempo inicjatywa ryzyko;wplyw uznanie zmiennosc;stabilnosc czas_dla_siebie;nadgodziny wyjazdy presja odpowiedzialnosc ryzyko_finansowe;przenika mobilnosc;potrzeba_tworzenia potrzeba_stabilnosci;niski;docelowy;niskie;;;1;0;;;projekty prowadzenie
redaktor;Redaktor;24;sredni;czesciowo;pisanie precyzja porzadek;slowo dokladnosc analiza;wytrwalosc wyczuwanie cierpliwosc;cisza dokladnosc samodzielnie;mistrzostwo czas_dla_siebie wolnosc;uznanie pieniadze;komputer samotnosc niepewny_dochod;zdalna wlasne;potrzeba_uznania nietykalnosc_pracy wzrok_slaby;zerowy;docelowy;umiarkowane;Celuj w redakcje merytoryczna, korekta sie automatyzuje;;0;0;wzrok;polski;projekty
tworca_internetowy;Tworca internetowy;24;szybki;nie;scena pisanie obraz;wystapienia tworzenie samodzielnosc;odpornosc estetyka analiza;inicjatywa ryzyko wlasne_pomysly;wolnosc uznanie zmiennosc;stabilnosc;niepewny_dochod wlasna_dzialalnosc nieregularne roszczeniowi;przenika zdalna wlasne;cudza_zlosc stala_pensja samodyscyplina_brak mierzenie;bardzo_niski;docelowy;umiarkowane;Buduj kontakt niezalezny od platformy, publicznosc do Ciebie nie nalezy;;0;0;;polski artystyczne;projekty hobby
aktor;Aktor;25;bardzo_dlugi;czesciowo;scena rozmowa obraz;wystapienia odpornosc zapamietywanie;wyczuwanie opanowanie wytrzymalosc;ludzie bodzce ryzyko;uznanie zmiennosc relacje;stabilnosc pieniadze czas_dla_siebie;wieczory weekendy niepewny_dochod wyjazdy wystapienia;przenika mobilnosc;odmowa_do_siebie krytyka_osobista stala_pensja;sredni;docelowy;umiarkowane;Dubbing i lektorstwo, czyli stabilna czesc dochodu, sa zagrozone synteza glosu;;0;0;;polski artystyczne;hobby prowadzenie
instruktor_teatralny;Instruktor teatralny;25;sredni;czesciowo;scena uczenie wspolnota;prowadzenie_grupy wyjasnianie wyczuwanie;tworzenie cierpliwosc wystapienia;ludzie elastycznosc zespol;sens relacje;pieniadze stabilnosc;wieczory weekendy ludzie_ciagle niepewny_dochod;osiadlosc maly_zespol;wieczory_nie potrzeba_jakosci;zerowy;docelowy;bardzo_niskie;;;0;0;;polski artystyczne;hobby wolontariat prowadzenie
muzyk;Muzyk;25;bardzo_dlugi;czesciowo;dzwiek scena rece;estetyka manualne cierpliwosc;opanowanie zapamietywanie samodzielnosc;glebia dokladnosc zespol;mistrzostwo uznanie;stabilnosc pieniadze;wieczory weekendy niepewny_dochod wyjazdy doksztalcanie;przenika mobilnosc dluga_inwestycja;stala_pensja krytyka_osobista rece_slabe;bardzo_wysoki;docelowy;niskie;Nauczanie utrzymuje wiekszosc muzykow w Polsce;;0;0;sluch;artystyczne;hobby konkursy
nauczyciel_muzyki;Nauczyciel muzyki;25;dlugi;tak;uczenie dzwiek scena;wyjasnianie cierpliwosc manualne;wyczuwanie prowadzenie_grupy zapamietywanie;ludzie dokladnosc powtarzalnosc;sens mistrzostwo stabilnosc czas_dla_siebie;pieniadze uznanie;studia wieczory dzieci ludzie_ciagle;osiadlosc granica_ostra;wieczory_nie efekt_szybki;niski;docelowy;bardzo_niskie;;;0;0;sluch;artystyczne;hobby prowadzenie
realizator_dzwieku;Realizator dzwieku;25;szybki;nie;dzwiek tech precyzja;sprzet problemy opanowanie;wytrzymalosc dokladnosc zespol;zespol tempo bodzce;mistrzostwo zmiennosc relacje;stabilnosc czas_dla_siebie;weekendy nieregularne fizyczna halas dzwiganie;mobilnosc przenika;sluch_slaby fizycznosc weekendy_nie;sredni;docelowy;niskie;Realizacja na zywo jest bezpieczna, prosty miks studyjny nie;;0;0;sluch kregoslup;fizyka informatyka artystyczne;hobby projekty
barista;Barista;26;szybki;nie;rece rozmowa precyzja;uprzejmosc manualne wielozadaniowosc;dokladnosc wytrzymalosc estetyka;ludzie tempo powtarzalnosc;relacje zmiennosc mistrzostwo;pieniadze rozwoj stabilnosc;stanie weekendy ludzie_ciagle;szybkie_wejscie stacjonarna;stanie_nie nuda_powtarzalnosc potrzeba_rozwoju;zerowy;trampolina;umiarkowane;Dobra pierwsza praca, jako kariera tylko przez wlasny lokal;;0;0;kregoslup;;praca_doryw
cukiernik;Cukiernik;26;szybki;nie;rece precyzja obraz;dokladnosc manualne cierpliwosc;estetyka wytrwalosc wytrzymalosc;dokladnosc powtarzalnosc cisza;mistrzostwo wolnosc;relacje uznanie;weekendy stanie goraco fizyczna;szybkie_wejscie wlasne osiadlosc;wczesne_wstawanie stanie_nie bez_ograniczen;wysoki;docelowy;niskie;Wyroby na zamowienie sa bezpieczne, produkcja masowa nie;;0;0;alergie_wziewne kregoslup;zawodowe artystyczne;hobby
kelner;Kelner;26;szybki;nie;rozmowa przekonywanie ruch;uprzejmosc wielozadaniowosc zapamietywanie;wytrzymalosc opanowanie przekonywanie;ludzie tempo bodzce;relacje zmiennosc pieniadze;stabilnosc rozwoj uznanie;weekendy stanie ludzie_ciagle roszczeniowi;szybkie_wejscie stacjonarna;cudza_zlosc weekendy_nie stanie_nie;zerowy;trampolina;umiarkowane;Najlatwiejsze wejscie w bazie i najlepsza darmowa szkola obslugi ludzi;;0;0;kregoslup;;praca_doryw
kucharz;Kucharz;26;szybki;nie;rece planowanie precyzja;opanowanie wielozadaniowosc manualne;wytrzymalosc dokladnosc zespol;tempo bodzce zespol;relacje zmiennosc mistrzostwo;czas_dla_siebie stabilnosc;weekendy stanie zmiany goraco presja fizyczna;szybkie_wejscie przenika maly_zespol;weekendy_nie komunikacja_ostra stanie_nie tworczosc_od_razu;bardzo_niski;docelowy;niskie;;;0;0;kregoslup;zawodowe;praca_doryw
menedzer_restauracji;Menedzer restauracji;26;dlugi;czesciowo;prowadzenie planowanie przekonywanie;prowadzenie_grupy organizowanie opanowanie;rachunki uprzejmosc rozbrajanie;inicjatywa tempo konfrontacja;wplyw relacje pieniadze;czas_dla_siebie stabilnosc;weekendy zmiany stanie odpowiedzialnosc presja ludzie_ciagle;przenika osiadlosc;weekendy_nie unikanie_konfliktu rachunki_nie;niski;docelowy;niskie;;gastro_zarzadzanie;0;0;;;praca_stala
recepcjonista;Recepcjonista hotelowy;26;szybki;czesciowo;rozmowa planowanie porzadek;uprzejmosc wyczuwanie wielozadaniowosc;organizowanie dokladnosc rozbrajanie;ludzie struktura reagowanie;relacje stabilnosc zmiennosc;pieniadze rozwoj;zmiany noce weekendy stanie ludzie_ciagle roszczeniowi;szybkie_wejscie osiadlosc;noce_nie cudza_zlosc;zerowy;trampolina;umiarkowane;Jezyk obcy realnie zmienia zarobki;;0;0;;jezyki;
szef_kuchni;Szef kuchni;26;dlugi;nie;prowadzenie rece planowanie;prowadzenie_grupy organizowanie opanowanie;rachunki manualne rozbrajanie;inicjatywa tempo konfrontacja;wplyw mistrzostwo pieniadze relacje;czas_dla_siebie stabilnosc;weekendy zmiany stanie goraco odpowiedzialnosc presja nadgodziny;przenika maly_zespol;potrzeba_gotowania unikanie_konfliktu weekendy_nie;bardzo_niski;docelowy;niskie;;gastro_zarzadzanie;0;0;kregoslup;;praca_stala
franczyzobiorca;Franczyzobiorca;27;sredni;nie;przedsiebiorczosc prowadzenie planowanie;organizowanie prowadzenie_grupy reguly;rachunki uprzejmosc samodzielnosc;struktura inicjatywa ryzyko;pieniadze stabilnosc wplyw;wolnosc mistrzostwo;wlasna_dzialalnosc ryzyko_finansowe weekendy ludzie_ciagle;wlasne osiadlosc maly_zespol;bez_ograniczen procedury_nie;bardzo_wysoki;docelowy;niskie;Umowa franczyzowa jest najwazniejsza decyzja, przeczytaj z prawnikiem;;0;0;;;
wlasciciel_lokalu;Wlasciciel lokalu gastronomicznego;27;dlugi;nie;przedsiebiorczosc rece prowadzenie;opanowanie wielozadaniowosc prowadzenie_grupy;rachunki uprzejmosc odpornosc;tempo bodzce ryzyko;wolnosc relacje mistrzostwo;stabilnosc czas_dla_siebie;weekendy zmiany fizyczna ryzyko_finansowe roszczeniowi presja;przenika wlasne;weekendy_nie stala_pensja;bardzo_wysoki;docelowy;niskie;Bez lat w gastronomii ryzyko jest bardzo wysokie;wlasna_firma;0;0;;;praca_stala
wlasciciel_uslugowej;Wlasciciel firmy usługowej;27;sredni;nie;przedsiebiorczosc przekonywanie prowadzenie;odpornosc przekonywanie samodzielnosc;organizowanie rachunki prowadzenie_grupy;ryzyko inicjatywa konfrontacja;wolnosc pieniadze wplyw;stabilnosc czas_dla_siebie;wlasna_dzialalnosc niepewny_dochod nadgodziny ryzyko_finansowe presja;wlasne przenika maly_zespol;stala_pensja waska_wiedza unikanie_konfliktu;sredni;docelowy;niskie;Najpierw fach, potem firma;wlasna_firma;0;0;;;firma_rodzinna praca_stala
wlasciciel_warsztatu;Wlasciciel warsztatu lub zakladu;27;sredni;nie;przedsiebiorczosc naprawianie rece;manualne samodzielnosc odpornosc;organizowanie rachunki prowadzenie_grupy;samodzielnie inicjatywa efekt_widoczny;wolnosc mistrzostwo pieniadze;czas_dla_siebie;wlasna_dzialalnosc fizyczna niepewny_dochod ryzyko_finansowe odpowiedzialnosc;wlasne osiadlosc stacjonarna;stala_pensja procedury_nie;wysoki;docelowy;bardzo_niskie;Rozwaz przejecie istniejacego zakladu zamiast budowania od zera;;0;0;kregoslup;;praca_stala firma_rodzinna
zalozyciel_tech;Zalozyciel firmy technologicznej;27;dlugi;nie;przedsiebiorczosc tech przekonywanie;odpornosc samodzielnosc przekonywanie;tworzenie system uczenie_sie;ryzyko inicjatywa wlasne_pomysly;wolnosc wplyw rozwoj;stabilnosc czas_dla_siebie;wlasna_dzialalnosc niepewny_dochod nadgodziny ryzyko_finansowe;przenika wlasne zdalna;stala_pensja potrzeba_stabilnosci sprzedaz_nie;niski;docelowy;niskie;Przewaga nie jest w budowaniu, tylko w dostepie do klientow;;1;0;;informatyka matematyka;projekty konkursy
